Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2017122046137,20-Dec-17,12/20/2017 0:00,BOS,Boston (Logan) International Airport,Jet Blue,-,-,Jewelry & Watches,-,In Review
2017083142573,20-Jul-17,7/18/2017 0:00,BOS,Boston (Logan) International Airport,American Airlines,Property Damage,Checked Baggage,Clothing; Food & Drink,-,In Review
2017070341167,20-Jun-17,6/9/2017 18:00,BOS,Boston (Logan) International Airport,Air Berlin,Passenger Property Loss,Checked Baggage,Clothing; Computer & Accessories,$0.00,Deny
2017063041133,20-Jun-17,5/23/2017 8:30,BOS,Boston (Logan) International Airport,Jet Blue,Personal Injury,Checkpoint,-,-,*Insufficient
2017032238137,20-Mar-17,2/24/2017 0:00,BOS,Boston (Logan) International Airport,Turkish Airlines,Property Damage,Checked Baggage,Computer & Accessories,$0.00,Deny
2017053040027,20-Mar-17,3/18/2017 0:00,BOS,Boston (Logan) International Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,$0.00,Deny
2017121245846,20-Nov-17,11/20/2017 0:00,BOS,Boston (Logan) International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
2017112045254,20-Nov-17,11/20/2017 0:00,BOS,Boston (Logan) International Airport,-,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,*Insufficient
2017120545740,20-Nov-17,11/4/2017 9:45,BOS,Boston (Logan) International Airport,Jet Blue,Passenger Property Loss,Checkpoint,Computer & Accessories,-,*Insufficient
2017111945233,20-Oct-17,10/20/2017 8:40,BOS,Boston (Logan) International Airport,Emirates,Passenger Property Loss,Checked Baggage,Personal Electronics,-,In Review
2017101744455,20-Sep-17,8/20/2017 6:42,BOS,Boston (Logan) International Airport,UAL,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,In Review
2017092143367,21-Aug-17,7/18/2017 0:00,BOS,Boston (Logan) International Airport,Iberia Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,In Review
2017092843706,21-Aug-17,8/17/2017 0:00,BOS,Boston (Logan) International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Currency; Personal Electronics,-,*Insufficient
2017042738981,21-Feb-17,1/30/2017 0:00,BOS,Boston (Logan) International Airport,Jet Blue,Property Damage,Checkpoint,Audio/Video,-,In Review
2017090842797,21-Jul-17,5/28/2017 0:00,BOS,Boston (Logan) International Airport,Jet Blue,Property Damage,Checkpoint,Cameras,$663.35,Approve in Full
2017072141761,21-Jun-17,6/15/2017 8:11,BOS,Boston (Logan) International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,$60.00,Settle
2017052639990,21-May-17,5/5/2017 10:30,BOS,Boston (Logan) International Airport,American Airlines,Passenger Property Loss,Checkpoint,Cosmetics & Grooming,$40.00,Approve in Full
2017122246247,21-Nov-17,10/17/2017 15:00,BOS,Boston (Logan) International Airport,Jet Blue,Passenger Property Loss,Checkpoint,Personal Electronics,-,In Review
2017092143458,21-Sep-17,8/19/2017 0:00,BOS,Boston (Logan) International Airport,Cape Air,Property Damage,Checked Baggage,Computer & Accessories,-,In Review
2017092143473,21-Sep-17,9/12/2017 11:00,BOS,Boston (Logan) International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Home Decor,-,In Review
2017101244323,21-Sep-17,9/6/2017 17:10,BOS,Boston (Logan) International Airport,WOW Air,Property Damage,Checkpoint,Baggage/Cases/Purses,-,In Review
2017092943820,22-Aug-17,7/31/2017 16:00,BOS,Boston (Logan) International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
2018010846558,22-Dec-17,10/31/2017 16:00,BOS,Boston (Logan) International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Food & Drink,-,In Review
2017073141990,22-Jun-17,6/21/2017 15:30,BOS,Boston (Logan) International Airport,Jet Blue,Passenger Property Loss,Checkpoint,Baggage/Cases/Purses,-,In Review
2017070541185,22-May-17,5/10/2017 20:30,BOS,Boston (Logan) International Airport,British Airways,Property Damage,Checkpoint,Home Decor,-,In Review
2017112845491,22-Nov-17,11/4/2017 0:00,BOS,Boston (Logan) International Airport,UAL,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
2017041938679,23-Feb-17,2/23/2017 18:30,BOS,Boston (Logan) International Airport,UAL,Passenger Property Loss,Checkpoint,Currency; Incidentals; Other; Personal Electronics,$0.00,Deny
2017041938711,23-Feb-17,2/23/2017 18:30,BOS,Boston (Logan) International Airport,UAL,Passenger Property Loss,Checkpoint,Baggage/Cases/Purses,$0.00,Deny
2017030737851,23-Jan-17,1/7/2017 0:00,BOS,Boston (Logan) International Airport,American Airlines,Property Damage,Checked Baggage,Medical/Science,$0.00,Deny
2017081042126,23-Jun-17,6/19/2017 0:00,BOS,Boston (Logan) International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,-,In Review
2017112945580,23-Oct-17,10/18/2017 0:00,BOS,Boston (Logan) International Airport,Cathay Pacific - CX,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,In Review
2017061440632,24-Apr-17,4/12/2017 0:00,BOS,Boston (Logan) International Airport,Spirit Airlines,Property Damage,Checkpoint,Computer & Accessories,-,In Review
2017061440638,24-Apr-17,4/4/2017 0:00,BOS,Boston (Logan) International Airport,American Airlines,Property Damage,Checkpoint,Personal Electronics,-,In Review
2017092943806,24-Aug-17,8/22/2017 0:00,BOS,Boston (Logan) International Airport,Swiss Air,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,*Insufficient
2017031738024,24-Jan-17,1/3/2017 10:30,BOS,Boston (Logan) International Airport,Jet Blue,Property Damage,Checkpoint,Musical Instruments & Accessories,$280.00,Settle
2017101144187,24-Sep-17,9/24/2017 0:00,BOS,Boston (Logan) International Airport,Alaska Airlines,Property Damage,Checkpoint,Personal Electronics,-,In Review
2017082542496,25-Aug-17,7/31/2017 16:36,BOS,Boston (Logan) International Airport,Emirates,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,In Review
2017070741271,25-May-17,5/6/2017 8:00,BOS,Boston (Logan) International Airport,Alaska Airlines,Property Damage,Checkpoint,Baggage/Cases/Purses,$100.00,Approve in Full
2017111445152,25-Oct-17,10/24/2017 10:15,BOS,Boston (Logan) International Airport,UAL,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
2017102544668,25-Oct-17,8/26/2017 0:00,BOS,Boston (Logan) International Airport,Jet Blue,Passenger Property Loss,Checkpoint,Personal Electronics,-,*Insufficient
2017101744398,25-Sep-17,9/14/2017 0:00,BOS,Boston (Logan) International Airport,British Airways,Passenger Property Loss,Checked Baggage,Personal Accessories,-,*Insufficient
2017032938266,26-Jan-17,1/14/2017 0:00,BOS,Boston (Logan) International Airport,Delta Air Lines,Property Damage,Checked Baggage,"Audio/Video; Books, Magazines & Other; Clothing; Medical/Science",$0.00,Deny
2017090142677,26-Jul-17,7/13/2017 9:30,BOS,Boston (Logan) International Airport,UAL,Property Damage,Checkpoint,Home Decor,-,In Review
2017090142707,26-Jul-17,7/23/2017 3:00,BOS,Boston (Logan) International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Personal Electronics,-,In Review
2017091142852,26-Jul-17,7/3/2017 0:00,BOS,Boston (Logan) International Airport,Jet Blue,Passenger Property Loss,Checkpoint,Medical/Science,-,In Review
2017101144228,26-Sep-17,9/4/2017 0:00,BOS,Boston (Logan) International Airport,Not Provided,Property Damage,Checkpoint,Personal Electronics,-,In Review
2017090842775,27-Jul-17,7/26/2017 8:20,BOS,Boston (Logan) International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
2017091443117,27-Jul-17,7/15/2017 17:00,BOS,Boston (Logan) International Airport,Jet Blue,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
2017050239177,27-Mar-17,2/19/2017 0:00,BOS,Boston (Logan) International Airport,UAL,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$454.97,Approve in Full
2017121946076,27-Nov-17,11/8/2017 21:20,BOS,Boston (Logan) International Airport,Jet Blue,Passenger Property Loss,Checkpoint,Food & Drink,-,In Review
2017102744822,27-Oct-17,9/28/2017 0:00,BOS,Boston (Logan) International Airport,UAL,Passenger Property Loss,Checked Baggage,Other,-,In Review
2017101144274,27-Sep-17,8/16/2017 0:00,BOS,Boston (Logan) International Airport,American Airlines,Passenger Property Loss,Checkpoint,Other; Personal Electronics,-,In Review
2017060640264,28-Apr-17,3/31/2017 16:30,BOS,Boston (Logan) International Airport,Not Provided,Passenger Property Loss,Checkpoint,Food & Drink,-,In Review
2017061340567,28-Apr-17,4/23/2017 0:00,BOS,Boston (Logan) International Airport,American Airlines,Property Damage,Checked Baggage,Computer & Accessories,-,In Review
2017060640302,28-Apr-17,4/20/2017 0:00,BOS,Boston (Logan) International Airport,American Airlines,Passenger Property Loss,Checkpoint,Food & Drink,$0.00,Deny
2017092943844,28-Aug-17,8/21/2017 0:00,BOS,Boston (Logan) International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,In Review
2017122846350,28-Dec-17,11/25/2017 15:30,BOS,Boston (Logan) International Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,-,In Review
2017042739010,28-Feb-17,2/6/2017 0:00,BOS,Boston (Logan) International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,-,In Review
2017042739002,28-Feb-17,1/22/2017 6:30,BOS,Boston (Logan) International Airport,EL AL Israeli Airlines,Property Damage,Checkpoint,Travel Accessories,$0.00,Deny
2017062841040,28-Jun-17,6/2/2017 0:00,BOS,Boston (Logan) International Airport,British Airways,Passenger Property Loss,Checked Baggage,Personal Electronics,$0.00,Deny
2017120845821,28-Nov-17,11/23/2017 0:00,BOS,Boston (Logan) International Airport,UAL,Passenger Property Loss,Checkpoint,Currency,-,In Review
2017121245883,28-Nov-17,11/28/2017 0:00,BOS,Boston (Logan) International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Computer & Accessories,-,*Insufficient
2017102544673,28-Sep-17,9/15/2017 0:00,BOS,Boston (Logan) International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Personal Electronics,-,In Review
2017092943760,29-Aug-17,8/19/2017 7:00,BOS,Boston (Logan) International Airport,British Airways,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
2017060540186,29-Mar-17,3/22/2017 0:00,BOS,Boston (Logan) International Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Clothing,$0.00,Deny
2017121946094,29-Nov-17,10/30/2017 14:20,BOS,Boston (Logan) International Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
2017122146217,29-Nov-17,11/28/2017 0:00,BOS,Boston (Logan) International Airport,UAL,Passenger Property Loss,Checkpoint,Computer & Accessories,-,In Review
2017101744432,29-Sep-17,7/1/2017 0:00,BOS,Boston (Logan) International Airport,Thomas Cook Airline,Property Damage,Checked Baggage,Household Items; Other,-,In Review
2017101944580,29-Sep-17,9/23/2017 0:00,BOS,Boston (Logan) International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
2017071341525,30-May-17,5/27/2017 8:00,BOS,Boston (Logan) International Airport,Spirit Airlines,Property Damage,Checkpoint,Travel Accessories,$266.00,Settle
2017071241443,30-May-17,5/12/2017 12:30,BOS,Boston (Logan) International Airport,Jet Blue,Passenger Property Loss,Checkpoint,Personal Electronics,-,*Insufficient
2017120445706,30-Nov-17,11/28/2017 0:00,BOS,Boston (Logan) International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,-,In Review
2017083142632,31-Aug-17,8/16/2017 0:00,BOS,Boston (Logan) International Airport,Delta Air Lines,Property Damage,Checkpoint,Personal Electronics,-,In Review
2017083142585,31-Aug-17,5/22/2017 0:00,BOS,Boston (Logan) International Airport,Not Provided,Passenger Property Loss,Checked Baggage,Other,$0.00,Deny
2017061940764,31-May-17,5/12/2017 0:00,BOS,Boston (Logan) International Airport,Southwest Airlines,Property Damage,Checkpoint,Computer & Accessories,"$1,246.00",Settle
2017103144881,31-Oct-17,8/9/2017 0:00,BOS,Boston (Logan) International Airport,Iceland Air,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
2017112445361,31-Oct-17,1/29/2017 0:00,BOS,Boston (Logan) International Airport,Swiss Air,Passenger Property Loss,Checked Baggage,Travel Accessories,-,In Review
