Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2016022629173,5-Feb-16,1/2/2016 16:00,ABE,"Lehigh Valley International Airport, Allentown",American Airlines,Passenger Property Loss,Checked Baggage,Currency,$0.00,Deny
2016052731826,18-May-16,5/5/2016 17:00,ABE,"Lehigh Valley International Airport, Allentown",Allegiant Air,Passenger Property Loss,Checked Baggage,Personal Electronics,$0.00,Deny
2016061532244,31-May-16,5/15/2016 0:00,ABE,"Lehigh Valley International Airport, Allentown",Delta Air Lines,Property Damage,Checkpoint,Jewelry & Watches,$0.00,Deny
2016081633086,6-Jul-16,7/5/2016 17:00,ABE,"Lehigh Valley International Airport, Allentown",UAL,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
2016100534408,22-Sep-16,9/11/2016 0:00,ABE,"Lehigh Valley International Airport, Allentown",Delta Air Lines,Property Damage,Checked Baggage,Other,-,In Review
2016081233041,6-Jul-16,7/3/2016 19:50,ABQ,Albuquerque International Sunport Airport,Allegiant Air,Property Damage,Checkpoint,Baggage/Cases/Purses,-,*Insufficient
2016050931144,18-Apr-16,4/4/2016 8:00,ABQ,Albuquerque International Sunport Airport,Alaska Airlines,Property Damage,Checked Baggage,Clothing,$84.99,Approve in Full
2016082433280,13-Jul-16,5/14/2016 8:45,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checkpoint,Personal Electronics,$99.00,Approve in Full
2016072832876,29-Jun-16,5/29/2016 0:00,ABQ,Albuquerque International Sunport Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Clothing,$100.00,Approve in Full
2016091533574,25-Jul-16,7/25/2016 0:00,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Food & Drink,$15.00,Approve in Full
2016102635196,17-Sep-16,8/28/2016 22:05,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing,$32.00,Approve in Full
2016101134600,21-Sep-16,9/6/2016 0:00,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing,$16.00,Approve in Full
2016022629158,2-Feb-16,1/13/2016 19:00,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Cosmetics & Grooming; Personal Accessories,$0.00,Deny
2016031029552,7-Mar-16,1/19/2016 0:00,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,-,$0.00,Deny
2016032930177,15-Mar-16,3/5/2016 0:00,ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cameras,$0.00,Deny
2016032930201,24-Mar-16,3/19/2016 5:30,ABQ,Albuquerque International Sunport Airport,-,Passenger Property Loss,Checkpoint,Personal Documents,$0.00,Deny
2016081833138,5-Jul-16,6/30/2016 0:00,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Personal Accessories,$0.00,Deny
2016052331593,10-May-16,3/8/2016 14:40,ABQ,Albuquerque International Sunport Airport,Alaska Airlines,Pass enger Prop ert y Loss,C hecked Bag ga ge,ing; Other; Personal Electronics; Tools & Home Imp,-,In Revi ew
2016060732065,27-May-16,5/27/2016 6:45,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checkpoint,Personal Accessories,-,In Review
2016092733941,27-Sep-16,6/26/2016 5:50,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Travel Accessories,-,In Review
2016092133735,2-Aug-16,7/12/2016 0:00,ABQ,Albuquerque International Sunport Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Personal Accessories,-,In Review
2016120935964,18-Oct-16,8/10/2016 0:00,ABQ,Albuquerque International Sunport Airport,Jet Blue,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
2016102034943,8-Sep-16,8/14/2016 0:00,ABQ,Albuquerque International Sunport Airport,Allegiant Air,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,-,In Review
2016110735598,3-Oct-16,8/21/2016 0:00,ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,In Review
2016100634430,2-Sep-16,8/24/2016 18:00,ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2016102535159,12-Sep-16,8/27/2016 0:00,ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras,-,In Review
2016102735255,28-Sep-16,9/8/2016 8:25,ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Medical/Science,-,In Review
2016120135884,1-Dec-16,9/16/2016 0:00,ABQ,Albuquerque International Sunport Airport,Alaska Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
2016110335477,3-Oct-16,9/19/2016 14:21,ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,In Review
